Rank,Title,Author,Price
1,Theo of Golden: A Novel,Allen Levi,Not Listed
2,Regime Change: Inside the Imperial Presidency of Donald Trump,Maggie Haberman,Not Listed
3,Yesteryear: A GMA Book Club Pick: A Novel,Caro Claire Burke,Not Listed
4,The Calamity Club: A Novel,Kathryn Stockett,Not Listed
5,Project Hail Mary: A Novel,Andy Weir,Not Listed
6,The Let Them Theory: A Life-Changing Tool That Millions of People Can't Stop Talking About,Mel Robbins,Not Listed
7,The Five-Star Weekend,Elin Hilderbrand,Not Listed
8,"The Killer Isn't Alice: The 46,600 Suspect Murder Mystery Puzzle",Iris Starling,Not Listed
9,Whistler: A Novel,Ann Patchett,Not Listed
10,"The Deal: Now an Original Series on Amazon Prime (Off-Campus, 1)",Elle Kennedy,Not Listed
11,The Very Hungry Caterpillar,Eric Carle,Not Listed
12,"The Mistake: Now an Original Series on Amazon Prime (Off-Campus, 2)",Elle Kennedy,Not Listed
13,The Correspondent: A Novel,Virginia Evans,Not Listed
14,"The Score: Now an Original Series on Amazon Prime (Off-Campus, 3)",Elle Kennedy,Not Listed
15,Cancel Me If You Can,Dave Portnoy,Not Listed
16,The Rainbow Fish,Marcus Pfister,Not Listed
17,Carl's Doomsday Scenario (Dungeon Crawler Carl),Matt Dinniman,Not Listed
18,I Love You to the Moon and Back,Amelia Hepworth,Not Listed
19,"Brown Bear, Brown Bear, What Do You See?: 50th Anniversary Edition",Bill Martin Jr.,Not Listed
20,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Not Listed
21,Dungeon Crawler Carl,Matt Dinniman,Not Listed
22,Murdoku: 80 Murder Mystery Logic Puzzles,Manuel Garand,Not Listed
23,The Dungeon Anarchist's Cookbook (Dungeon Crawler Carl),Matt Dinniman,Not Listed
24,Cozy Cuties: Coloring Book for Adults and Kids (Cozy Spaces Coloring),Coco Wyo,Not Listed
25,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,Not Listed
26,One Golden Summer,Carley Fortune,Not Listed
27,Murdle: Volume 1,G T Karber,Not Listed
28,"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",PI Kids,Not Listed
29,Remarkably Bright Creatures: A Novel,Shelby Van Pelt,Not Listed
30,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,Not Listed
